alias_name,author_name
", Anteckningar Från Sverige",Mikael Blixt
", Evigh3t3n",Mikael Blixt
", Forntida Astronauter",Mikael Blixt
", Håkan",Håkan Söderman
", Solkarina",Solkarina Hammare
"Andersen, Lexi",Kristine Lindgren
"Andersson, Tommy",Andreas Ziegler
Anteckningar Från Sverige,Mikael Blixt
"Astronauter, Forntida",Mikael Blixt
"Bergendahl, Anethe",Susanna Roxfelt
"Beyer, Henrik",JOHN-HENRIK BEYER
"Blixt, Jonas",Augusto/Jonas Cabrera/Blixt
"Brandt, Bobby",Andreas Ziegler
"Bäckström, Ewa",Åsa Malmström
"Cabrera, Augusto",Augusto/Jonas Cabrera/Blixt
"Coy, Desirée",Susanne Hydén
"di Polo, Piona",Peter Ording
"Ehn, Hedda Ng -",Hedda Ng - Ehn
"Ek, Agnes",Ingrid Lindquist
"Ekman, Cecilia",Cecilia Ekman
Evigh3t3n,Mikael Blixt
"Evyson, J.M",Jörgen Mikaelsson Evyson
"Evyson, J.M.",Jörgen Mikaelsson Evyson
"Fjällman Sedvall, Inger",Inger FjällmanSedvall
Forntida Astronauter,Mikael Blixt
"Funck, Thomas Funck",Thomas Funck
"G Kruse, Jan",Jan Gustafsson
"Hennig, Michaela",Michaela Hennig
Håkan,Håkan Söderman
"Johansson, Alice",Johanna Krebs Johansson
"Karlsson, Johnny Boris",Johnny Boris Karlsson
"Kentell, Catarina",Catharina Wöhlecke Haglund
Kosmisk kunskap,Solkarina Hammare
"Kvickrot, Lovisa",Olof Aronsson
"L Gustavsson, Erik",Lars Erik Gustavsson
"Langlé, Annika",Annika Langlé
"Larson, Conny",Conny Freij Larsson
"Magnusson, Henrik X",Henrik Magnusson
"Neander, E-L",Ewa-Lotta Neander
"Nicklasson, Birger",Birger Niklasson
"Nilsson, Rebecca",Nora Morander
"Olans, Pellas Majsan",Pełlas Majsan Olans
"Olson, Anna K",Anna Olson
"Salo, Sanna",Charlotta Dahlstedt
"Sinnligkunskap, Solkarina",Solkarina Hammare
"Slätt, Andreas",Janis Petrov
Solkarina,Solkarina Hammare
"Sourander, Julia",Josefine Andersson
"Svensson, Bo Göran",Emerson Records & Publishing AB Bo Göran Svensson
"Söderlund, Bosse",Bo Söderlund
TellUs,Ella S
"Tode Palm, Lolo",Lolo Palm
"Vilde, Axel",Erik Eriksson
"Wessberg Ledner, Lisbeth",Lisbeth Ledner
"Widerdal, Mikael",Mikael Widerdal
"Wike, P-C",Pippi windrike
"X Magnusson, Henrik",Henrik Magnusson
"Ying, Ann",Divine Faith
